Brand,Color,Price,no_of_star,rating,discount,Ton,annual_electricity_Consumption
MOTOROLA,Silver,37999,3,4.4,18,1.5,624.48
Voltas,White,51990,3,4.4,33.66,1.5,1123.77
Godrej,White,39900,5,2.8,23,1.5,686.48
Panasonic,White,35999,3,3.2,23,1.5,704.42
Blue star,White,38490,5,3.8,23,1.5,589.14
Haier,White,38028,3,4.1,33.66,1.5,968.61
Equator,Silver,26999,3,2,44,0.75,1114.71
Hitachi,Gold,38390,3,3.4,23,1.5,752.43
Voltas,White,30590,3,4.3,33.66,1.5,1123.23
Lloyd,White,36685,3,4.2,36,1.4,824.08
Godrej,White,32449,3,4.5,24,1.5,1050.84
Voltas,White,64990,3,4.1,33.66,1.5,1123.23
Voltas,White,23729,3,4.2,56,1.2,624.48
Lloyd,White,39400,3,2.7,40,1.5,1123.77
Daikin,White,64999,5,4.4,13,1.8,589.14
Daikin,White,43120,4,4.2,26,1.5,1015.62
LG,White,47499,5,3.6,37,1.5,968.61
Daikin,White,39300,4,3.2,32,1.5,1114.71
CARRIER,White,42990,3,4.2,33.66,1.5,1049.79
Godrej,White,31900,3,4.4,28,1.5,752.43
Haier,White,68490,3,4.2,33.66,1.5,1123.23
Daikin,White,44490,4,2,23,1.5,1050.84
Lloyd,White,56990,5,4.2,33.66,1.2,624.48
White Westinghouse,White,33999,3,4.2,39,1.5,962.49
White Westinghouse,White,33999,3,4.2,39,1.5,1123.77
Daikin,White,44490,4,2,23,1.5,1134.28
Panasonic,White,36999,3,3.4,33,1.5,1015.62
LG,White,51890,5,4.2,38,1.5,968.61
Blue star,White,35450,5,4.2,16,1.5,1114.71
SAMSUNG,White,37388,3,4.2,18,1.5,1049.79
Godrej,White,31900,3,3.7,30,1.5,1123.23
Daikin,White,53000,5,4.2,15,1.5,824.08
Haier,White,60890,3,4.1,33.66,1.5,1123.23
Panasonic,White,41350,4,4.2,30,1.5,962.49
