Brand,Color,Price,no_of_star,rating,discount,Model,Ton,annual_electricity_Consumption
CRUISE,White,27990,2,,34.0,,1.5,1114.71
Lloyd,White,49490,3,4,33.0,,,1049.79
Blue,White,39490,5,,21.0,,1.5,752.43
Daikin,White,72500,2,,18.0,,2.2,1123.23
Daikin,White,40800,,,30.0,,1.5,577.43
O,White,50598,3,,7.0,,1.7,824.08
Hitachi,White,35419,3,,34.0,2023,,1050.84
Lloyd,White,24890,2,4.1,37.0,2023,,1123.23
CARRIER,White,50999,,,27.0,,,624.48
Hisense,White,37490,3,4.2,42.0,,,962.49
Hitachi,White,36992,5,4,44.0,,1.5,624.48
Daikin,White,40800,,,30.0,,1.5,1123.77
Lloyd,White,49490,3,4,33.0,,,
CRUISE,White,27990,2,,34.0,,1.5,686.48
Hisense,White,37490,3,4.2,42.0,,,
MarQ,,33990,5,4.1,41.0,,1.5,
Panasonic,White,34399,3,,19.0,,1.5,
Whirlpool,White,38250,5,4.1,38.0,,1.5,704.42
Blue,White,35890,3,3.6,41.0,,1.5,1134.28
Lloyd,White,24890,2,4.1,37.0,2023,,589.14
Lloyd,White,29990,2,,36.0,,,1015.62
Hitachi,White,39800,3,,36.0,2023,1.5,
Voltas,White,25383,5,4.3,26.0,,1.5,968.61
Panasonic,,47990,5,4.1,34.0,2023,1.5,
Blue,,48700,5,,32.0,2023,1.5,1114.71
Hitachi,White,69000,2,,5.0,,,1049.79
Lloyd,White,27490,3,,42.0,2023,1.5,752.43
